Sector2,Ano2,MesDesc2,textbox_MatrixRow_EnergiaConsumida2,Textbox11,
Cons. Próprio (Industrial),1989,Julho,-,0,
Cons. Próprio (Industrial),1989,Agosto,-,0,
Cons. Próprio (Industrial),1989,Setembro,-,0,
Cons. Próprio (Industrial),1989,Outubro,-,0,
Cons. Próprio (Industrial),1989,Novembro,-,0,
Cons. Próprio (Industrial),1989,Dezembro,-,0,
Cons. Próprio (Industrial),1990,Janeiro,-,0,
Cons. Próprio (Industrial),1990,Fevereiro,-,0,
Cons. Próprio (Industrial),1990,Março,-,0,
Cons. Próprio (Industrial),1990,Abril,-,0,
Cons. Próprio (Industrial),1990,Maio,-,0,
