Origem,Ano,MesDesc,textbox_MatrixRow_EnergiaProduzida,Textbox32,
Biogás,2021,Janeiro, 52 987,70 323 629,
Biogás,2021,Fevereiro, 54 460,63 056 061,
Biogás,2021,Março, 62 143,67 648 860,
Biogás,2021,Abril, 50 386,64 207 141,
Biogás,2021,Maio, 49 398,65 832 876,
Biogás,2021,Junho, 51 469,66 133 417,
Biogás,2021,Julho, 52 365,72 069 276,
Biogás,2021,Agosto, 59 617,75 667 824,
Biogás,2021,Setembro, 59 775,71 390 104,
Biogás,2021,Outubro, 47 279,72 336 314,
Biogás,2021,Novembro, 58 520,68 406 215,
Biogás,2021,Dezembro, 54 592,70 831 335,
Biogás,2022,Janeiro, 60 386,70 703 868,
Biogás,2022,Fevereiro, 55 929,63 316 705,
Biogás,2022,Março, 52 688,69 563 297,
Central das Ondas,1987,Janeiro,-,18 531 304,
Central das Ondas,1987,Fevereiro,-,16 882 648,
Central das Ondas,1987,Março,-,18 228 181,
Central das Ondas,1987,Abril,-,17 413 376,
Central das Ondas,1987,Maio,-,18 112 306,
Central das Ondas,1987,Junho,-,18 338 171,
Central das Ondas,1987,Julho,-,19 712 260,
Central das Ondas,1987,Agosto,-,20 118 442,
Central das Ondas,1987,Setembro,-,19 564 821,
Central das Ondas,1987,Outubro,-,19 722 815,
Central das Ondas,1987,Novembro,-,19 595 169,
Central das Ondas,1987,Dezembro,-,20 472 642,
Central das Ondas,1988,Janeiro,-,20 427 299,
Central das Ondas,1988,Fevereiro,-,18 831 177,
Central das Ondas,1988,Março,-,20 131 383,
Central das Ondas,1988,Abril,-,19 007 849,
Central das Ondas,1988,Maio,-,19 821 551,
Central das Ondas,1988,Junho,-,19 789 308,
Central das Ondas,1988,Julho,-,21 464 834,
Central das Ondas,1988,Agosto,-,22 257 483,
Central das Ondas,1988,Setembro,-,21 632 678,
Central das Ondas,1988,Outubro,-,21 673 173,
Central das Ondas,1988,Novembro,-,21 205 159,
Central das Ondas,1988,Dezembro,-,22 156 884,
Central das Ondas,1989,Janeiro,-,22 290 372,
Central das Ondas,1989,Fevereiro,-,19 995 268,
Central das Ondas,1989,Março,-,21 851 913,
Central das Ondas,1989,Abril,-,20 892 600,
Central das Ondas,1989,Maio,-,21 993 953,
Central das Ondas,1989,Junho,-,21 934 532,
Central das Ondas,1989,Julho,-,23 383 128,
Central das Ondas,1989,Agosto,-,23 761 244,
Central das Ondas,1989,Setembro,-,22 929 316,
Central das Ondas,1989,Outubro,-,23 282 182,
Central das Ondas,1989,Novembro,-,22 534 828,
Central das Ondas,1989,Dezembro,-,22 900 407,
Central das Ondas,1990,Janeiro,-,24 557 867,
Central das Ondas,1990,Fevereiro,-,21 725 272,
Central das Ondas,1990,Março,-,23 839 695,
Central das Ondas,1990,Abril,-,22 675 626,
Central das Ondas,1990,Maio,-,24 672 416,
Central das Ondas,1990,Junho,-,24 194 610,
Central das Ondas,1990,Julho,-,26 387 745,
Central das Ondas,1990,Agosto,-,26 311 181,
Central das Ondas,1990,Setembro,-,25 083 554,
Central das Ondas,1990,Outubro,-,25 482 424,
Central das Ondas,1990,Novembro,-,24 988 465,
Central das Ondas,1990,Dezembro,-,26 034 256,
Central das Ondas,1991,Janeiro,-,26 502 749,
Central das Ondas,1991,Fevereiro,-,23 810 562,
Central das Ondas,1991,Março,-,25 524 439,
Central das Ondas,1991,Abril,-,25 241 897,
Central das Ondas,1991,Maio,-,25 607 722,
Central das Ondas,1991,Junho,-,26 362 931,
Central das Ondas,1991,Julho,-,28 344 411,
Central das Ondas,1991,Agosto,-,28 731 923,
Central das Ondas,1991,Setembro,-,27 570 320,
Central das Ondas,1991,Outubro,-,28 080 228,
Central das Ondas,1991,Novembro,-,27 310 128,
Central das Ondas,1991,Dezembro,-,28 238 503,
Central das Ondas,1992,Janeiro,-,28 633 330,
Central das Ondas,1992,Fevereiro,-,26 246 283,
Central das Ondas,1992,Março,-,27 279 175,
Central das Ondas,1992,Abril,-,26 484 506,
Central das Ondas,1992,Maio,-,27 406 565,
Central das Ondas,1992,Junho,-,27 146 269,
Central das Ondas,1992,Julho,-,29 921 685,
Central das Ondas,1992,Agosto,-,30 444 908,
Central das Ondas,1992,Setembro,-,29 383 862,
Central das Ondas,1992,Outubro,-,29 568 370,
Central das Ondas,1992,Novembro,-,29 114 417,
Central das Ondas,1992,Dezembro,-,29 717 988,
Central das Ondas,1993,Janeiro,-,29 442 372,
Central das Ondas,1993,Fevereiro,-,26 543 388,
Central das Ondas,1993,Março,-,29 225 032,
Central das Ondas,1993,Abril,-,27 177 624,
Central das Ondas,1993,Maio,-,28 445 083,
Central das Ondas,1993,Junho,-,28 636 007,
Central das Ondas,1993,Julho,-,30 867 852,
